ChargeSheet_ID,FIR_ID,Accused_ID,Crime_Type,Sections,Investigating_Officer,Court,Witness_Count,Evidence_Count,ChargeSheet_Date,Status
CS202500002,FIR202500005,P000865,Assault,"BNS 115(2), BNS 117(2)",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,11,29,2025-03-04,Accepted
CS202500120,FIR202500256,P008022,Fraud,BNS 318(4),PI Chetan Kumar,Bengaluru Urban District & Sessions Court,7,18,2025-03-04,Accepted
CS202500076,FIR202500149,P006999,Theft,BNS 303(2),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,8,18,2025-03-05,Filed
CS202500115,FIR202500280,P001441,Burglary,"BNS 331(3), BNS 331(4)",SI Ravi Kumar,Bengaluru Rural District & Sessions Court,16,18,2025-03-06,Accepted
CS202500141,FIR202500283,P003939,Vehicle Theft,BNS 303(2),SI Ganesh Rao,Chikkaballapura District & Sessions Court,14,7,2025-03-06,Filed
CS202500022,FIR202500045,P006436,NDPS,NDPS Act Sec 20(b),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,7,15,2025-03-06,Returned for Correction
CS202500073,FIR202500159,P002201,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Naveen Patil,Bengaluru Rural District & Sessions Court,9,22,2025-03-07,Returned for Correction
CS202500188,FIR202500370,P006325,Fraud,BNS 318(4),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,17,16,2025-03-07,Returned for Correction
CS202500146,FIR202500260,P001641,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,7,3,2025-03-07,Filed
CS202500061,FIR202500140,P006194,Burglary,"BNS 331(3), BNS 331(4)",PI Harish Naik,Chamarajanagar District & Sessions Court,12,4,2025-03-08,Accepted
CS202500128,FIR202500263,P009550,Fraud,BNS 318(4),PI Ramesh Gowda,Chikkaballapura District & Sessions Court,13,23,2025-03-08,Accepted
CS202500160,FIR202500300,P001380,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ganesh Rao,Ballari District & Sessions Court,11,23,2025-03-09,Returned for Correction
CS202500077,FIR202500160,P005588,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Naveen Patil,Bengaluru Urban District & Sessions Court,7,21,2025-03-09,Accepted
CS202500064,FIR202500141,P000584,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,8,3,2025-03-09,Pending Scrutiny
CS202500134,FIR202500281,P001442,Dacoity,BNS 310(2),SI Divya Hegde,Chikkaballapura District & Sessions Court,16,11,2025-03-10,Filed
CS202500005,FIR202500015,P006323,Murder,BNS 103(1),SI Ganesh Rao,Bengaluru Rural District & Sessions Court,18,16,2025-03-10,Pending Scrutiny
CS202500042,FIR202500089,P003985,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Bagalkote District & Sessions Court,14,28,2025-03-11,Pending Scrutiny
CS202500175,FIR202500380,P008087,Murder,BNS 103(1),SI Ganesh Rao,Bengaluru Urban District & Sessions Court,3,6,2025-03-11,Accepted
CS202500021,FIR202500030,P004533,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Bengaluru Rural District & Sessions Court,18,25,2025-03-11,Filed
CS202500050,FIR202500087,P002794,POCSO,"POCSO Act Sec 4, BNS 64",PI Ramesh Gowda,Chamarajanagar District & Sessions Court,13,28,2025-03-11,Filed
CS202500144,FIR202500311,P000366,Murder,BNS 103(1),PI Harish Naik,Bengaluru Rural District & Sessions Court,2,9,2025-03-12,Filed
CS202500034,FIR202500065,P008479,NDPS,NDPS Act Sec 20(b),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,14,8,2025-03-12,Returned for Correction
CS202500103,FIR202500240,P004150,Murder,BNS 103(1),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,16,12,2025-03-12,Filed
CS202500136,FIR202500248,P004573,Theft,BNS 303(2),PI Chetan Kumar,Bengaluru Rural District & Sessions Court,11,10,2025-03-13,Returned for Correction
CS202500155,FIR202500262,P000406,Theft,BNS 303(2),SI Ravi Kumar,Belagavi District & Sessions Court,16,10,2025-03-13,Accepted
CS202500178,FIR202500387,P000657,Theft,BNS 303(2),PI Harish Naik,Chamarajanagar District & Sessions Court,6,30,2025-03-13,Accepted
CS202500088,FIR202500163,P007194,Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,12,11,2025-03-14,Filed
CS202500039,FIR202500084,P009490,Burglary,"BNS 331(3), BNS 331(4)",PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,3,27,2025-03-14,Accepted
CS202500201,FIR202500398,P005631,Dacoity,BNS 310(2),PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,11,8,2025-03-15,Filed
CS202500048,FIR202500107,P001941,Fraud,BNS 318(4),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,8,20,2025-03-15,Filed
CS202500029,FIR202500050,P009764,Murder,BNS 103(1),SI Divya Hegde,Bengaluru Urban District & Sessions Court,11,11,2025-03-15,Returned for Correction
CS202500078,FIR202500169,P002112,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Harish Naik,Chikkaballapura District & Sessions Court,9,20,2025-03-15,Accepted
CS202500181,FIR202500396,P000419,Robbery,BNS 309(4),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,10,25,2025-03-15,Accepted
CS202500226,FIR202500475,P009025,Dacoity,BNS 310(2),PI Harish Naik,Bengaluru Rural District & Sessions Court,9,4,2025-03-16,Returned for Correction
CS202500012,FIR202500026,P006216,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Rural District & Sessions Court,4,11,2025-03-16,Returned for Correction
CS202500031,FIR202500054,P008718,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,18,17,2025-03-16,Filed
CS202500151,FIR202500318,P008622,Assault,"BNS 115(2), BNS 117(2)",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,18,15,2025-03-17,Returned for Correction
CS202500059,FIR202500133,P006803,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Bengaluru Rural District & Sessions Court,18,24,2025-03-17,Returned for Correction
CS202500230,FIR202500483,P007314,Robbery,BNS 309(4),SI Ganesh Rao,Chikkaballapura District & Sessions Court,12,3,2025-03-17,Pending Scrutiny
CS202500212,FIR202500452,P001731,Burglary,"BNS 331(3), BNS 331(4)",PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,14,17,2025-03-17,Pending Scrutiny
CS202500051,FIR202500113,P007708,POCSO,"POCSO Act Sec 4, BNS 64",SI Ganesh Rao,Bengaluru Urban District & Sessions Court,16,10,2025-03-17,Returned for Correction
CS202500192,FIR202500406,P001042,Murder,BNS 103(1),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,12,4,2025-03-18,Accepted
CS202500086,FIR202500157,P000909,Fraud,BNS 318(4),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,11,13,2025-03-18,Accepted
CS202500106,FIR202500224,P008930,Murder,BNS 103(1),PI Naveen Patil,Belagavi District & Sessions Court,15,6,2025-03-18,Pending Scrutiny
CS202500092,FIR202500152,P008878,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Ravi Kumar,Bengaluru Urban District & Sessions Court,9,13,2025-03-18,Pending Scrutiny
CS202500186,FIR202500404,P009729,Fraud,BNS 318(4),PI Harish Naik,Bengaluru Urban District & Sessions Court,5,4,2025-03-18,Filed
CS202500187,FIR202500379,P005292,Murder,BNS 103(1),SI Ganesh Rao,Bidar District & Sessions Court,3,14,2025-03-18,Returned for Correction
CS202500193,FIR202500416,P005344,Fraud,BNS 318(4),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,5,27,2025-03-19,Returned for Correction
CS202500125,FIR202500291,P009662,Burglary,"BNS 331(3), BNS 331(4)",PI Naveen Patil,Chikkaballapura District & Sessions Court,15,21,2025-03-19,Pending Scrutiny
CS202500110,FIR202500265,P009199,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,2,22,2025-03-19,Pending Scrutiny
CS202500055,FIR202500117,P008444,Murder,BNS 103(1),PI Harish Naik,Bagalkote District & Sessions Court,10,3,2025-03-19,Filed
CS202500116,FIR202500270,P000146,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,16,5,2025-03-19,Filed
CS202500009,FIR202500009,P009085,Fraud,BNS 318(4),PI Ramesh Gowda,Belagavi District & Sessions Court,10,7,2025-03-19,Accepted
CS202500204,FIR202500426,P000323,POCSO,"POCSO Act Sec 4, BNS 64",SI Ganesh Rao,Bengaluru Rural District & Sessions Court,18,18,2025-03-20,Returned for Correction
CS202500104,FIR202500219,P007652,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,15,11,2025-03-20,Filed
CS202500011,FIR202500024,P006914,Fraud,BNS 318(4),PI Naveen Patil,Bengaluru Rural District & Sessions Court,11,12,2025-03-20,Pending Scrutiny
CS202500027,FIR202500052,P003724,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,6,14,2025-03-21,Returned for Correction
CS202500111,FIR202500259,P005491,Vehicle Theft,BNS 303(2),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,7,23,2025-03-21,Pending Scrutiny
CS202500152,FIR202500299,P001529,Burglary,"BNS 331(3), BNS 331(4)",PI Chetan Kumar,Bengaluru Rural District & Sessions Court,17,24,2025-03-21,Filed
CS202500189,FIR202500375,P004711,NDPS,NDPS Act Sec 20(b),PI Naveen Patil,Bengaluru Rural District & Sessions Court,13,16,2025-03-21,Accepted
CS202500139,FIR202500241,P007028,Fraud,BNS 318(4),PI Harish Naik,Bengaluru Rural District & Sessions Court,6,23,2025-03-21,Accepted
CS202500095,FIR202500201,P008752,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,16,14,2025-03-22,Returned for Correction
CS202500137,FIR202500209,P006179,Vehicle Theft,BNS 303(2),PI Harish Naik,Bengaluru Rural District & Sessions Court,7,23,2025-03-22,Filed
CS202500174,FIR202500378,P006623,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,5,17,2025-03-22,Filed
CS202500129,FIR202500264,P003855,Vehicle Theft,BNS 303(2),PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,18,12,2025-03-22,Pending Scrutiny
CS202500215,FIR202500441,P009396,Theft,BNS 303(2),PI Harish Naik,Belagavi District & Sessions Court,3,22,2025-03-22,Accepted
CS202500093,FIR202500212,P002168,Robbery,BNS 309(4),SI Mahesh Bhat,Bagalkote District & Sessions Court,8,4,2025-03-23,Pending Scrutiny
CS202500154,FIR202500332,P008884,Theft,BNS 303(2),PI Lakshmi Devi,Bagalkote District & Sessions Court,11,24,2025-03-23,Returned for Correction
CS202500026,FIR202500046,P004287,Burglary,"BNS 331(3), BNS 331(4)",SI Divya Hegde,Chikkaballapura District & Sessions Court,11,17,2025-03-23,Pending Scrutiny
CS202500013,FIR202500023,P006557,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Chikkaballapura District & Sessions Court,11,23,2025-03-23,Returned for Correction
CS202500169,FIR202500352,P004786,Theft,BNS 303(2),SI Ganesh Rao,Ballari District & Sessions Court,5,10,2025-03-24,Accepted
CS202500108,FIR202500237,P003846,Fraud,BNS 318(4),PI Naveen Patil,Bengaluru Urban District & Sessions Court,10,22,2025-03-24,Returned for Correction
CS202500036,FIR202500071,P002383,Dacoity,BNS 310(2),PI Naveen Patil,Bengaluru Rural District & Sessions Court,2,21,2025-03-24,Filed
CS202500153,FIR202500312,P001128,Assault,"BNS 115(2), BNS 117(2)",SI Divya Hegde,Bidar District & Sessions Court,12,29,2025-03-24,Filed
CS202500159,FIR202500344,P008140,Assault,"BNS 115(2), BNS 117(2)",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,2,14,2025-03-24,Accepted
CS202500099,FIR202500204,P001354,Dacoity,BNS 310(2),SI Ravi Kumar,Bengaluru Rural District & Sessions Court,12,29,2025-03-24,Returned for Correction
CS202500028,FIR202500048,P009829,Burglary,"BNS 331(3), BNS 331(4)",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,5,26,2025-03-25,Filed
CS202500225,FIR202500474,P004485,Burglary,"BNS 331(3), BNS 331(4)",PI Naveen Patil,Chikkaballapura District & Sessions Court,14,6,2025-03-25,Accepted
CS202500140,FIR202500249,P001381,Murder,BNS 103(1),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,18,27,2025-03-25,Returned for Correction
CS202500168,FIR202500305,P009806,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,11,7,2025-03-25,Filed
CS202500015,FIR202500035,P004030,Vehicle Theft,BNS 303(2),SI Divya Hegde,Chamarajanagar District & Sessions Court,4,30,2025-03-25,Accepted
CS202500222,FIR202500455,P003473,Burglary,"BNS 331(3), BNS 331(4)",PI Naveen Patil,Chikkaballapura District & Sessions Court,7,28,2025-03-26,Filed
CS202500127,FIR202500289,P006286,Vehicle Theft,BNS 303(2),PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,2,4,2025-03-26,Pending Scrutiny
CS202500032,FIR202500063,P009355,POCSO,"POCSO Act Sec 4, BNS 64",PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,9,15,2025-03-26,Accepted
CS202500205,FIR202500401,P003296,Burglary,"BNS 331(3), BNS 331(4)",SI Ganesh Rao,Bidar District & Sessions Court,16,25,2025-03-26,Pending Scrutiny
CS202500233,FIR202500445,P000624,Assault,"BNS 115(2), BNS 117(2)",PI Chetan Kumar,Belagavi District & Sessions Court,10,12,2025-03-26,Accepted
CS202500241,FIR202500502,P009294,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Naveen Patil,Chamarajanagar District & Sessions Court,3,14,2025-03-26,Pending Scrutiny
CS202500117,FIR202500254,P007250,Robbery,BNS 309(4),PI Naveen Patil,Bengaluru Rural District & Sessions Court,10,27,2025-03-26,Accepted
CS202500138,FIR202500233,P005701,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Bidar District & Sessions Court,3,26,2025-03-27,Filed
CS202500143,FIR202500298,P008741,Murder,BNS 103(1),SI Prakash Sharma,Bengaluru Rural District & Sessions Court,12,28,2025-03-27,Filed
CS202500199,FIR202500431,P008149,Theft,BNS 303(2),SI Divya Hegde,Bidar District & Sessions Court,12,30,2025-03-27,Returned for Correction
CS202500176,FIR202500377,P003315,Burglary,"BNS 331(3), BNS 331(4)",PI Harish Naik,Chamarajanagar District & Sessions Court,5,15,2025-03-27,Pending Scrutiny
CS202500170,FIR202500359,P003437,Theft,BNS 303(2),SI Ganesh Rao,Bengaluru Rural District & Sessions Court,15,15,2025-03-28,Filed
CS202500035,FIR202500073,P001582,POCSO,"POCSO Act Sec 4, BNS 64",PI Harish Naik,Bengaluru Rural District & Sessions Court,2,8,2025-03-28,Returned for Correction
CS202500085,FIR202500197,P003782,Fraud,BNS 318(4),PI Chetan Kumar,Bengaluru Urban District & Sessions Court,9,21,2025-03-28,Filed
CS202500043,FIR202500068,P008522,Dacoity,BNS 310(2),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,3,12,2025-03-28,Returned for Correction
CS202500258,FIR202500541,P007089,Dacoity,BNS 310(2),PI Naveen Patil,Ballari District & Sessions Court,16,25,2025-03-29,Returned for Correction
CS202500247,FIR202500505,P006772,Burglary,"BNS 331(3), BNS 331(4)",PI Ramesh Gowda,Belagavi District & Sessions Court,8,19,2025-03-29,Filed
CS202500224,FIR202500466,P002798,NDPS,NDPS Act Sec 20(b),PI Ramesh Gowda,Chikkaballapura District & Sessions Court,16,28,2025-03-29,Pending Scrutiny
CS202500083,FIR202500192,P001521,Fraud,BNS 318(4),PI Ramesh Gowda,Bengaluru Urban District & Sessions Court,3,16,2025-03-30,Accepted
CS202500206,FIR202500427,P006532,Burglary,"BNS 331(3), BNS 331(4)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,12,29,2025-03-30,Returned for Correction
CS202500023,FIR202500041,P004392,Burglary,"BNS 331(3), BNS 331(4)",SI Ganesh Rao,Chikkaballapura District & Sessions Court,3,28,2025-03-30,Accepted
CS202500082,FIR202500131,P003144,Vehicle Theft,BNS 303(2),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,5,21,2025-03-30,Returned for Correction
CS202500049,FIR202500080,P002217,Fraud,BNS 318(4),PI Harish Naik,Bengaluru Rural District & Sessions Court,17,9,2025-03-30,Filed
CS202500010,FIR202500003,P005909,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Lakshmi Devi,Ballari District & Sessions Court,8,29,2025-03-30,Accepted
CS202500100,FIR202500205,P009725,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Bagalkote District & Sessions Court,10,24,2025-03-31,Returned for Correction
CS202500037,FIR202500083,P007160,Fraud,BNS 318(4),PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,14,9,2025-03-31,Pending Scrutiny
CS202500054,FIR202500081,P007849,Fraud,BNS 318(4),SI Divya Hegde,Bengaluru Urban District & Sessions Court,18,8,2025-03-31,Pending Scrutiny
CS202500202,FIR202500435,P005515,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Ramesh Gowda,Bengaluru Rural District & Sessions Court,15,20,2025-03-31,Accepted
CS202500003,FIR202500010,P005717,Burglary,"BNS 331(3), BNS 331(4)",PI Chetan Kumar,Bengaluru Rural District & Sessions Court,2,16,2025-04-01,Accepted
CS202500135,FIR202500279,P007589,Vehicle Theft,BNS 303(2),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,12,18,2025-04-01,Returned for Correction
CS202500231,FIR202500478,P003024,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Mahesh Bhat,Chamarajanagar District & Sessions Court,7,10,2025-04-01,Filed
CS202500006,FIR202500014,P005955,NDPS,NDPS Act Sec 20(b),PI Naveen Patil,Bengaluru Rural District & Sessions Court,4,19,2025-04-01,Pending Scrutiny
CS202500056,FIR202500109,P005252,NDPS,NDPS Act Sec 20(b),PI Naveen Patil,Bengaluru Rural District & Sessions Court,10,16,2025-04-01,Accepted
CS202500084,FIR202500191,P007917,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,13,28,2025-04-01,Filed
CS202500293,FIR202500601,P004974,Theft,BNS 303(2),SI Divya Hegde,Bidar District & Sessions Court,18,11,2025-04-01,Returned for Correction
CS202500044,FIR202500102,P008419,Vehicle Theft,BNS 303(2),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,4,24,2025-04-01,Accepted
CS202500148,FIR202500316,P005316,Assault,"BNS 115(2), BNS 117(2)",SI Ravi Kumar,Bidar District & Sessions Court,18,7,2025-04-02,Accepted
CS202500260,FIR202500535,P008201,NDPS,NDPS Act Sec 20(b),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,6,18,2025-04-02,Pending Scrutiny
CS202500171,FIR202500323,P005392,Murder,BNS 103(1),PI Naveen Patil,Bengaluru Urban District & Sessions Court,10,28,2025-04-02,Returned for Correction
CS202500114,FIR202500266,P006793,Theft,BNS 303(2),SI Ganesh Rao,Chamarajanagar District & Sessions Court,10,6,2025-04-02,Pending Scrutiny
CS202500227,FIR202500451,P002934,Robbery,BNS 309(4),PI Naveen Patil,Bengaluru Rural District & Sessions Court,16,17,2025-04-02,Pending Scrutiny
CS202500240,FIR202500498,P007308,Murder,BNS 103(1),PI Suresh Kulkarni,Chamarajanagar District & Sessions Court,14,10,2025-04-03,Filed
CS202500294,FIR202500602,P004130,Assault,"BNS 115(2), BNS 117(2)",PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,17,29,2025-04-03,Pending Scrutiny
CS202500278,FIR202500567,P008797,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,10,6,2025-04-03,Accepted
CS202500263,FIR202500555,P004434,Assault,"BNS 115(2), BNS 117(2)",PI Harish Naik,Chikkaballapura District & Sessions Court,6,10,2025-04-03,Accepted
CS202500177,FIR202500386,P002977,NDPS,NDPS Act Sec 20(b),SI Divya Hegde,Ballari District & Sessions Court,13,29,2025-04-03,Pending Scrutiny
CS202500149,FIR202500308,P001895,Fraud,BNS 318(4),SI Ravi Kumar,Bengaluru Rural District & Sessions Court,10,24,2025-04-04,Returned for Correction
CS202500183,FIR202500376,P002306,Theft,BNS 303(2),SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,12,28,2025-04-04,Pending Scrutiny
CS202500179,FIR202500392,P001732,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,9,12,2025-04-04,Filed
CS202500228,FIR202500465,P000472,Theft,BNS 303(2),PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,3,29,2025-04-04,Accepted
CS202500098,FIR202500188,P001291,Fraud,BNS 318(4),SI Prakash Sharma,Bengaluru Urban District & Sessions Court,12,19,2025-04-04,Accepted
CS202500081,FIR202500161,P002329,Fraud,BNS 318(4),PI Lakshmi Devi,Bengaluru Urban District & Sessions Court,7,11,2025-04-04,Filed
CS202500197,FIR202500367,P003536,Robbery,BNS 309(4),PI Suresh Kulkarni,Bidar District & Sessions Court,13,19,2025-04-05,Filed
CS202500191,FIR202500414,P007254,Robbery,BNS 309(4),PI Suresh Kulkarni,Bengaluru Rural District & Sessions Court,12,15,2025-04-05,Pending Scrutiny
CS202500113,FIR202500242,P006142,POCSO,"POCSO Act Sec 4, BNS 64",SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,6,19,2025-04-05,Accepted
CS202500207,FIR202500440,P005458,NDPS,NDPS Act Sec 20(b),SI Prakash Sharma,Chamarajanagar District & Sessions Court,18,3,2025-04-05,Returned for Correction
CS202500223,FIR202500461,P008537,Vehicle Theft,BNS 303(2),PI Chetan Kumar,Bidar District & Sessions Court,18,23,2025-04-06,Pending Scrutiny
CS202500131,FIR202500276,P003137,Fraud,BNS 318(4),PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,18,9,2025-04-06,Returned for Correction
CS202500080,FIR202500182,P006945,Cyber Crime,"IT Act 66D, BNS 318(4)",PI Chetan Kumar,Bengaluru Urban District & Sessions Court,12,27,2025-04-06,Pending Scrutiny
CS202500267,FIR202500550,P005463,Cyber Crime,"IT Act 66D, BNS 318(4)",SI Mahesh Bhat,Bengaluru Rural District & Sessions Court,4,12,2025-04-07,Filed
CS202500277,FIR202500570,P002587,Vehicle Theft,BNS 303(2),PI Chetan Kumar,Bengaluru Urban District & Sessions Court,15,5,2025-04-07,Accepted
CS202500236,FIR202500495,P007147,Robbery,BNS 309(4),SI Mahesh Bhat,Bengaluru Urban District & Sessions Court,4,6,2025-04-07,Filed
CS202500316,FIR202500633,P008526,Vehicle Theft,BNS 303(2),PI Suresh Kulkarni,Bengaluru Urban District & Sessions Court,15,12,2025-04-07,Accepted
CS202500282,FIR202500573,P007806,Assault,"BNS 115(2), BNS 117(2)",SI Prakash Sharma,Ballari District & Sessions Court,4,28,2025-04-07,Accepted
